#separator:tab
#html:true
{{c1::Die Geldmenge}} ist {{c2::die Menge an Geld in einer Volkswirtschaft}}.	
"<p>{{c1::Die Kontrolle von Monopolen durch den Staat}} entsteht durch:</p>
<ul>
<li>{{c2::Auflösung}}</li>
<li>{{c2::Fusionskontrolle}}</li>
<li>{{c2::Preiskontrolle, Steuern und Subventionierung}}</li>
<li>{{c2::Verstaatlichung}}</li>
</ul>"	
"<p>{{c1::Von einer Regulierung von einem Monopol}} kann abgesehen werden, wenn:</p>
<ul>
<li>{{c2::die Kosten der Regulierung über den Kosten des Marktversagen liegen}}</li>
<li>{{c3::ein Monopol natürlich gewachsen ist und kein Missbrauch der Marktmacht vorliegt}}</li>
</ul>"	
"{{c1::Die vollständige Preisdifferenzierung}} ist {{c2::die Preisdifferenzierung}} bei {{c2::perfekter Informationsverteilung}} zu {{c2::der Zahlungsbereitschaft}}.<br />
{{c1::{{c2::<img src=""2021-Bild-Sieg-Monopol_Preisdifferenzierung.png"" alt=""""><br />
Monopolist mit Einheitspreis und mit vollständiger Preisdifferenzierung }}}}"	
"Durch {{c1::eine vollständige Preisdifferenzierung}} kann {{c2::der Gewinn eines Unternehmens maximiert}} und {{c2::der Wohlfahrtsverlust minimiert werden}}.<br />
{{c1::{{c2::<img src=""2021-Bild-Sieg-Monopol_Preisdifferenzierung.png"" alt=""""><br />
Monopolist mit Einheitspreis und mit vollständiger Preisdifferenzierung }}}}"	
"{{c1::Die Produzentenrente}} ist {{c2::der Nutzen, den ein Verkäufer erhält}} und ist {{c2::der Gewinnzuwachs}}.<br />
{{c1::{{c2::<img src=""2021-Bild-Sieg-Produzentenrente.png"" alt=""""><br />
Produzentenrente}}}}"	
"{{c1::\(\text{Produzentenrente}\)}} \(=\) {{c2::\(\text{Preis} - \text{Produktionskosten}\)}}<br />
{{c1::{{c2::<img src=""2021-Bild-Sieg-Produzentenrente.png"" alt=""""><br />
Produzentenrente}}}}"	
{{c1::Ein Pareto-Optimum}} ist {{c2::ein Zustand}}, in welchem es {{c2::keine weitere Möglichkeit für eine Pareto-Verbesserung gibt}}.	
{{c1::Eine Pareto-Verbesserung}} ist {{c2::eine Maßnahme}} zur {{c2::Umsetzung der Pareto-Effizienz}}.	
{{c1::Eine Pareto-Effizienz}} ist {{c2::ein Zustand}}, bei welcher es {{c2::keinen weiteren Zustand gibt, welcher dazu führt, dass es einer Partei besser geht und keiner Partei schlechter geht}}.	
{{c1::Die Inzidenz}} ist {{c2::die Aufteilung der Steuerlast oder Subventionen}} zwischen {{c2::zwei Parteien im Verhältnis}}.	
"{{c1::Die Inzidenz}} ist abhängig von {{c2::der Preiselastizität}}, da {{c2::Parteien mit geringerer Elastizität schlechter auf Marktveränderungen reagieren können}}.<br />
{{c1::{{c2::<img src=""2021-Bild-Sieg-Steuern_bei_elastischem_Angebot_und_unelastischer_Nachfrage.png"" alt=""""><br />
Ist das Angebot elastischer als die Nachfrage, fällt die Steuerlast mehr auf die Käufer als auf die Verkäufer<br />
<img src=""2021-Bild-Sieg-Steuern_bei_unelastischem_Angebot_und_elastischer_Nachfrage.png"" alt=""""><br />
Ist die Nachfrage elastischer als das Angebot, fällt die Steuerlast mehr auf die Verkäufer als auf die Käufer}}}}"	
{{c1::Die dominante Strategie}} ist {{c2::die beste Strategie und Best Response einer Partei}}, unabhängig von {{c2::der Strategie von anderen Parteien}}.	
{{c1::Der Preiseffekt}} ist der Effekt, dass {{c2::in einem Markt mit zunehmender Verkäuferanzahl der Preis aller verkaufen Güter gesenkt}} und somit auch {{c2::der Gewinn für die Verkäufer gesenkt}} wird.	
{{c1::Die Internalisierung von Externalitäten}} ist {{c2::die Schaffung von positiven oder negativen Anreizen}} zur {{c2::Optimierung des Marktgleichgewicht bei entstehenden negativen Externalitäten}}.	
{{c1::Die Pigou-Steuer}} ist {{c2::die Erhebung einer Steuer}} zur {{c2::Internalisierung von Externalitäten}}.	
"Beispiel:<br />
Rebound-Effekt"	"<ul>
<li>Kraftfahrzeuge werden effizienter, weswegen größere Kraftfahrzeuge gekauft werden, die insgesamt mehr Benzin verbrauchen</li>
</ul>"
{{c1::Der Rebound-Effekt}} ist {{c2::das unerwartete Eintreten eines gegenteiligen Effekts}}, der durch {{c2::anfängliche Optimierung}} entsteht.	
{{c1::Kollusion}} ist {{c2::ein Parallelverhalten von einer Menge von Unternehmen}}, insbesondere {{c3::die Absprache über Menge und Preis}}.	
{{c1::Ein Kartell}} ist {{c2::eine Gruppe von Unternehmen}}, die {{c2::im Rahmen einer Kollusion einvernehmlich agieren}}.	
{{c1::Kartelle}} sind häufig untersagt, da {{c2::sie durch gemeinsames Handeln ein Monopolergebnis erzielen}} und dadurch der Volkswirtschaft schaden.	
{{c1::Ein Duopol}} ist {{c2::ein Oligopol mit ausschließlich zwei Anbietern}}.	
{{c1::Volkswirtschaftliche Kosten}} sind {{c2::die Summe}} aus {{c2::privaten und betriebswirtschaftlichen Kosten der Produktion}}, sowie {{c2::soziale Kosten und externe Kosten}}, welche für {{c2::unbeteiligte Dritte}} durch {{c2::Externalitäten}} in {{c2::einer Volkswirtschaft}} entstehen.	
"Beispiel:<br />
Externalität"	"<ul>
<li>Erfindungen: positive Externalität</li>
<li>Impfungen: positive Externalität</li>
<li>Treibhausgas: negative Externalität</li>
<li>Zigarettenrauch: negative Externalität</li>
</ul>"
"{{c1::Eine Externalität (externer Effekt)}} sind {{c2::Kosten oder Nutzen}} der {{c2::Entscheidungen einer Partei}}, welche {{c2::die Wohlfahrt}} von {{c2::unbeteiligten dritten Parteien}} beeinflusst.<br />
{{c1::{{c2::<img src=""2021-Bild-Sieg-Wohlfahrtsverlust.png"" alt=""""><br />
Wohlfahrtsverlust}}}}"	
"{{c1::Externalitäten}} können {{c2::zu einem Marktversagen führen}}, wenn die durch die {{c1::Externalität}} erzeugten Kosten {{c3::nicht durch den Verkäufer getragen werden}}, da ein Wohlfahrtsverlust entsteht.<br />
{{c1::{{c2::{{c3::<img src=""2021-Bild-Sieg-Wohlfahrtsverlust.png"" alt=""""><br />
Wohlfahrtsverlust}}}}}}"	
"Beispiel:<br />
Preisuntergrenze"	"<ul>
<li>Mindestlohn</li>
</ul>"
"{{c1::Eine Preisuntergrenze (Price Floor)}} ist {{c2::die Preiskontrolle durch einen gesetzlichen Mindestpreis}}.<br />
{{c1::{{c2::<img src=""2021-Bild-Sieg-Bindende_Preisuntergrenze.png"" alt=""""><br />
Bindende Preisuntergrenze}}}}"	
Eine Preisuntergrenze führt zu {{c1::einem Angebotsüberschuss und Rationierung}}.	
"Beispiel:<br />
Preisobergrenze"	"<ul>
<li>Mietpreisbremse</li>
</ul>"
"{{c1::Eine Preisobergrenze (Price Ceiling)}} ist {{c2::die Preiskontrolle durch einen gesetzlichen Höchstpreis}}.<br />
{{c1::{{c2::<img src=""2021-Bild-Sieg-Bindende_Preisobergrenze.png"" alt=""""><br />
Bindende Preisobergrenze}}}}"	
Eine Preisobergrenzen führt zu {{c1::einem Nachfrageüberschuss und Rationalisierung}}.	
"{{c1::Eine Netzwerkexternalität}} ist {{c2::eine Externalität}} durch {{c2:: einen positiven externen Netzwerkeffekt}}, welcher vorhanden ist, wenn {{c3::der Nutzen eines Gutes mit der Anzahl der Konsumenten steigt}}.<br />
{{c1::{{c2::{{c3::<img src=""2021-Bild-Sieg-Kostenverlauf_und_Netzwerkexternalitaeten.png"" alt=""""><br />
Kostenverlauf und Netzwerkexternalitäten}}}}}}"	
{{c1::Die Steuerhinterziehung}} ist {{c2::die Verkürzung der Steuern}} durch {{c2::unrichtige oder unvollständige Angaben}}.	
{{c1::Die Steuervermeidung}} ist {{c2::die Verkürzung der Steuern}} durch {{c2::Verhaltensveränderungen}}.	
{{c1::Eine Abgabe}} ist {{c2::ein Entgelt}}, wenn {{c2::die Gegenleistung die Regel ist}}.	
{{c1::Eine Gebühr}} ist {{c2::ein Entgelt}} für {{c2::eine Gegenleistung}}.	
{{c1::Das Nash-Gleichgewicht (Nash Equilibrium)}} ist {{c2::eine Strategie}}, in der {{c2::miteinander verbundene Parteien ihre bestmögliche Strategie in Bezug auf die Strategie der anderen Partei gewählt haben}}.	
{{c1::Das BIP (Bruttoinlandsprodukt)}} ist {{c2::der Marktwert}} {{c3::aller für den Endverbraucher bestimmten}} {{c4::Güter}}, welche {{c5::in einer Zeitperiode im Inland hergestellt worden sind}}.	
{{c1::\(\text{BIP (Y)}\)}} \(=\) {{c2::\(\text{Konsum (C)} + \text{Investitionen (I)} + \text{Staatsausgaben (G)} + (\text{Export} - \text{Import})\)}}	
"<p>Eine Ungenauigkeit des BIP entsteht durch:</p>
<ul>
<li>{{c1::Abschätzungen}}, z. B. {{c1::bei Trinkgeld}}</li>
<li>{{c1::fehlende Erfassung}}, z. B. {{c1::bei Schwarzarbeit und kriminellen Aktivitäten}}</li>
</ul>"	
{{c1::Die Produktionseinstellung}} ist {{c2::die kurzfristige Schließung einer Unternehmung}}.	
"{{c1::Die Produktionseinstellung}} ist sinnvoll, wenn {{c2::der Umsatz kleiner ist als die variablen Kosten}} bzw. {{c2::der Preis kleiner ist als die durchschnittlichen variablen Kosten}}.<br />
{{c1::{{c2::<img src=""2021-Bild-Sieg-Kurzfristige_Angebotskurve_und_Gewinnerzielung.png"" alt=""""><br />
Kurzfristige Angebotskurve und Gewinnerzielung}}}}"	
"{{c1::\(\text{Produktionseinstellung}\)}} \(\Rightarrow\) {{c2::\(\text{Umsatz (E)} &lt; \text{variable Kosten (VK)} \lor \text{Preis (P)} &lt; \text{durchschnittliche variablen Kosten (DVK)}\)}}<br />
{{c1::{{c2::<img src=""2021-Bild-Sieg-Kurzfristige_Angebotskurve_und_Gewinnerzielung.png"" alt=""""><br />
Kurzfristige Angebotskurve und Gewinnerzielung}}}}"	
{{c1::Der Marktaustritt}} ist {{c2::die langfristige Schließung einer Unternehmung}}.	
"{{c1::Der Marktaustritt}} ist sinnvoll, wenn {{c2::der Umsatz kleiner ist als die Kosten}} bzw. {{c2::der Preis kleiner ist als die Durchschnittskosten}}.<br />
{{c1::{{c2::<img src=""2021-Bild-Sieg-Langfristige_Angebotskurve_und_Gewinnerzielung.png.png"" alt=""""><br />
Langfristige Angebotskurve und Gewinnerzielung}}}}"	
"{{c1::\(\text{Marktaustritt}\)}} \(\Rightarrow\) {{c2::\(\text{Umsatz (E)} &lt; \text{Kosten (K)} \lor \text{Preis (P)} &lt; \text{Durchschnittliche Kosten (DK)}\)}}<br />
{{c1::{{c2::<img src=""2021-Bild-Sieg-Langfristige_Angebotskurve_und_Gewinnerzielung.png.png"" alt=""""><br />
Langfristige Angebotskurve und Gewinnerzielung}}}}"	
"wahr oder falsch:<br />
Ein Unternehmen, das höhere Gewinne erwirtschaftet als ein anderes Unternehmen, ist nicht zwangsläufig rentabler als ein andere Unternehmen."	"wahr:<br />
Bei der Rentabilität wird der erwirtschaftete Gewinn ins Verhältnis zum eingesetzten Kapital gesetzt. Ein Unternehmen \(A\) kann zum Beispiel rentabler sein als Unternehmen \(B\) mit gleichem Gewinn, wenn \(A\) weniger Kapital einsetzt, um diesen Gewinn zu erwirtschaften."
"{{c1::Der Gewinn}} ist die Differenz zwischen {{c2::Umsatz und Gesamtkosten}} und {{c3::oft Ziel}} von Unternehmungen.<br />
{{c1::{{c2::<img src=""2021-Bild-Sieg-Unternehmung_mit_Gewinn.png"" alt=""""><br />
Unternehmung mit Gewinn}}}}"	
{{c1::Eine Gewinnerzielung}} ist gewährleistet, wenn {{c2::der Preis}} {{c3::größer}} ist als {{c2::die Durchschnittskosten}}.	
{{c1::\(\text{Gewinn}\)}} \(\Leftarrow \text{Preis (P)} &gt; \text{Durchschnittliche Kosten (DK)}\)	
{{c1::Der Umsatz (Erlös, Gesamterlös)}} ist {{c2::der Betrag, den ein Unternehmen für den Verkauf von Güter erhält}}.	
{{c1::\(\text{Umsatz}\)}} \(=\) {{c2::\(\text{Verkaufspreis} \cdot \text{Menge}\)}}	
\({{c1::\text{Preiselastizität der Nachfrage} }}\) \(=\) \({{c2::\frac{\text{prozentuale Änderung der Nachfrage} }{\text{prozentuale Preisänderung} } }}\)	
{{c1::Skalenerträge (Returns To Scale)}} sind {{c2::die prozentualen Veränderung der Produktionsmenge}} bei {{c2::Veränderung aller Produktionsfaktoren}}.	
{{c1::Zunehmende}} Skalenerträge führen zu einer langfristigen {{c2::Abnahme}} der durchschnittlichen Gesamtkosten.	
{{c1::Abnehmende}} Skalenerträge führen zu einer langfristigen {{c2::Zunahme}} der durchschnittlichen Gesamtkosten.	
{{c1::Das Betriebsoptimum (effiziente Betriebsgröße, efficient scale)}} ist {{c2::die effiziente Ausbringungsmenge, welche produziert wird}}, wenn {{c3::die durchschnittlichen Gesamtkosten am geringsten sind}} bzw. wenn {{c4::das Betriebsoptimum den Grenzkosten entspricht}}.	
"{{c1::Gesamtkosten}} sind {{c2::die Kosten}}, welche {{c2::im Zusammenhang mit der Produktionsmenge stehen}}.<br />
{{c1::{{c2::<img src=""2021-Bild-Sieg-Gesamtkostenkurve.png"" alt=""""><br />
Gesamtkostenkurve}}}}"	
"wahr oder falsch:<br />
Opportunitätskosten sind keine realen Kosten und sollten daher bei Investitionsentscheidungen auch nicht berücksichtigt werden."	"falsch:<br />
Auch wenn Opportunitätskosten nicht effektiv anfallen, müssen diese dennoch bei Investitionsentscheidungen berücksichtigt werden, da sonst eventuell eine Investition getätigt werden würde, obwohl die Anlage der eigenen Mittel zum Habenzinssatz vorteilhafter wäre."
{{c1::Opportunitätskosten}} sind {{c2::der Verlust von entgangenen Gewinnen, welcher bei der Wahl zwischen mehreren Optionen aufgegeben wird, um durch die ausgewählte Option Gewinn einzufahren}}.	
Das {{c1::Grenzprodukt}} ist {{c2::der Zuwachs der Produktionsmenge}}, den man durch {{c2::den Einsatz einer zusätzlichen Einheit eines Produktionsfaktors}} erzielt.	
\({{c1::\text{Preiselastzität des Angebots} }}\) \(=\) \({{c2::\frac{\text{prozentuale Änderung der Angebotsmenge} }{\text{prozentuale Preisänderung} } }}\)	
{{c1::Ein Angebotsüberschuss}} ist ein Überschuss an Nachfrage, welcher entsteht, wenn {{c2::die Angebotsmenge oder der Angebotspreis über den Marktgleichgewicht liegt}}.	
Bei {{c1::einem Angebotsüberschuss}} ist {{c2::die Angebotsmenge oder der Angebotspreis}} {{c3::größer}} als {{c2::die Nachfragemenge oder der Nachfragepreis}}.	
"<p>Faktoren des Angebotsüberschuss sind:</p>
<ul>
<li>{{c1::Gewinnspannen werden durch Preisnachlässe und vermehrte Werbeaktionen geschmälert}}</li>
<li>{{c1::potentielle Cashflow-Probleme}}</li>
<li>{{c1::Risiko des Verderbens und der Überalterung von Produkten}}</li>
<li>{{c1::Zunahme der Lagerbestände und steigende Lagerkosten}}</li>
</ul>"	
{{c1::Ein Nachfrageüberschuss}} ist ein Überschuss an Nachfrage, welcher entsteht, wenn {{c2::die Nachfragemenge oder -preis über den Marktgleichgewicht liegt}}.	
Bei {{c1::einem Nachfrageüberschuss}} ist {{c2::die Nachfragemenge oder der Nachfragepreis}} {{c3::größer}} als {{c2::die Angebotsmenge oder der Angebotspreis}}.	
"<p>Faktoren des Nachfrageüberschuss sind:</p>
<ul>
<li>{{c1::Produktionsknappheit und hohe Auftragsbestände}}</li>
<li>{{c1::Reputationsverlust}}</li>
<li>{{c1::Verkaufseinbußen}}</li>
<li>{{c1::verlängerte Lieferzeiten und geringere Termintreue}}</li>
</ul>"	
{{c1::Die Preiskontrolle}} ist {{c2::die staatliche eingeführte Regulierung des Preises}} durch {{c3::Preisobergrenzen}} und {{c3::Preisuntergrenze}}, {{c3::Besteuerung}} und {{c3::Subventionierung}} von einzelnen Marktbereichen.	
"wahr oder falsch:<br />
Die Preisbereitschaft wird durch Preiserwartungen und wahrgenommene Fairness von Transaktionen bestimmt."	wahr
{{c1::Die Zahlungsbereitschaft}} ist {{c2::der Höchstbetrag, den ein Konsument bereit ist, für ein Gut zu zahlen}}.	
{{c1::Die Zahlungsbereitschaft}} wird durch {{c2::die Preiserwartung}} und {{c2::die wahrgenommene Preis-Fairness}} bestimmt.	
"{{c1::Ein Wohlfahrtsverlust}} ist ein Verlust an Wohlfahrt, welcher entsteht, wenn {{c2::die Produktionsmenge unter der ökonomischen Effizienz produziert wird}} und {{c2::der angebotene Preis über den Grenzkosten liegt}}.<br />
{{c1::{{c2::<img src=""2021-Bild-Sieg-Monopol_Nettowohlfahrtsverlust.png"" alt=""""><br />
Wohlfahrtsverlust}}}}"	
{{c1::Der Wohlfahrtverlust}} ist grafisch {{c2::das Dreieck der Schnittpunkte zwischen Nachfrage, Grenzkosten und Grenzumsatz}}.	
{{c1::Eine monopolistische Konkurrenz}} ist {{c2::eine Marktform}} und {{c2::eine unvollständigen Konkurrenz}} mit {{c2::einem hohen Angebot und einer Produktdifferenzierung}}, wodurch {{c3::Marktteilnehmer Einfluss auf die Preisbildung nehmen können}}.	
{{c1::Ein Oligopol}} ist {{c2::eine Form der Marktwirtschaft und eine monopolistische Konkurrenz mit nur geringem Angebot und hoher Nachfrage}} für {{c3::ein identisches oder sehr ähnliches Gut}}, wodurch {{c4::ein geringer Wettbewerb unter den Verkäufern}} entsteht.	
{{c1::Preise}} in {{c2::einem Oligopolmarkt}} sind {{c3::niedriger}} als im {{c4::Monopolmarkt}}, aber {{c3::höher}} als in {{c4::der vollständigen Konkurrenz}}.	
{{c1::Ein Monopol}} ist {{c2::eine Marktformen}} mit {{c2::einer hohen Nachfrage}} und {{c2::einem einzigen Anbieter}}, wodurch {{c3::der Anbieter eine hohe Marktmacht}} besitzt und {{c4::Preisfixierer ist}}.	
{{c1::Ein Polypol (Wettbewerbsmarkt, Konkurrenzmarkt)}} ist {{c2::eine Marktform mit hoher Nachfrage und hohem Angebot}}, so dass {{c3::ein Wettbewerbs- oder Konkurrenzdruck}} entsteht, wodurch {{c3::Marktteilnehmer nur einen geringen Einfluss auf die Preisbildung besitzen}}.	
In {{c1::einem Polypol}} ist {{c2::der Grenzumsatz}} gleich {{c3::dem Preis}}.	
{{c1::Eine unvollständige Konkurrenz}} ist {{c2::eine Marktformen}}, in welcher {{c2::Marktteilnehmer, spezifisch Anbieter}} {{c3::großen Einfluss auf die Preisbildung besitzen}}.	
{{c1::Eine vollständige Konkurrenz}} ist {{c2::eine Marktform}} und {{c2::ein spezielles Polypol}}, in dem {{c3::identische homogenen Güter}} angeboten werden und dadurch {{c3::der Preisunterschied minimiert wird}}.	
{{c1::Eine Marktform}} ist {{c2::eine spezielle Ausprägung einer Marktwirtschaft}}.	
{{c1::Die Werbung}} ist {{c2::das gezielte Marketing}}.	
{{c1::Eine Mietpreisbremse}} ist {{c2::die gesetzliche Regulierung des Mietpreises}}.	
"{{c1::Eine Mietpreisbremse}} führt langfristig {{c2::zu einem Abbau von Wohnraum und zur Destabilisierung der Wohnsituation}}, da {{c3::der Anreiz für Investitionen verringert wird}}.<br />
{{c1::{{c2::<img src=""2016-Bild-Mankiw-Taylor-Mietpreisbindung.png"" alt=""""><br />
Kurzfristige und langfristige Entwicklung bei einer Mietpreisbindung }}}}"	
{{c1::Eine Marke in der Wirtschaft}} ist {{c2::ein Instrument}} mit spezifischen Merkmalen, welches {{c2::sich gegenüber anderen Marken nachhaltig differenziert}}. {{c1::Eine Marke}} rahmt {{c3::ein Produkt}} ein und gibt ihr {{c3::eine Identität}}.	
{{c1::Eine Marke}} ist {{c2::ein rechtlich geschütztes Zeichen und ein Kennzeichen}} für {{c3::die Urheberschaft und Warenherkunft}}.	
{{c1::Die Planwirtschaft}} ist {{c2::ein System}}, in der die Planung von {{c2::Politikern, Beamten und Funktionären}} übernommen wird.	
{{c1::Die Konjunktur}} ist {{c2::die Schwankung im Wirtschaftswachstum und der volkswirtschaftlichen Aktivität, gemessen an der Beschäftigung und Produktion}}.	
{{c1::Die Inflation}} ist {{c2::den Anstieg des Preisniveaus, sämtlicher Preise und Kosten}} in {{c2::einer Volkswirtschaft}} und führt zu {{c3::der Entwertung von Geld}}.	
Nach Auffassung des Rat der EZB kann eine Preisstabilität mit einer Inflationsrate von {{c1::2 %}} gesichert werden.	
"{{c2::Die Subventionierung}} ist in der Volkswirtschaftslehre {{c1::eine Methode zur Steuerung des Marktgleichgewicht}} durch {{c3::den Staat}}.<br />
{{c1::{{c2::{{c3::<img src=""2016-Bild-Mankiw-Taylor-Subvention.png"" alt=""""><br />
Subventionierung}}}}}}"	
"{{c1::Konsum}} ist {{c2::der Verbrauch von Gütern}} durch {{c2::Konsumenten}}.<br />
{{c1::{{c2::<img src=""2021-Bild-Sieg-Haushaltsoptimum.png"" alt=""""><br />
Maximierung des Konsums}}}}"	
"{{c1::Der Konsum}} wird {{c2::beim Schnittpunkt}} {{c3::der Indifferenzkurve und Budgetgerade}} maximiert.<br />
{{c1::{{c2::{{c3::<img src=""2021-Bild-Sieg-Haushaltsoptimum.png"" alt=""""><br />
Maximierung des Konsums}}}}}}"	
"{{c1::Ein Marktgleichgewicht}} ist {{c2::einen Zustand}}, in welchem {{c2::Angebot und Nachfrage gleich sind}}.<br />
{{c1::{{c2::<img src=""2021-Bild-Sieg-Marktgleichgewicht.png"" alt=""""><br />
Marktgleichgewicht}}}}"	
{{c1::Ein inferiores Gut}} ist ein Gut, dessen {{c2::Nachfrage mit steigendem Einkommen sinkt}}.	
{{c1::Ein normales Gut}} ist ein gut, dessen {{c2::Nachfrage mit steigendem Einkommen steigt}}.	
{{c1::Ein komplementäres Gut (Komplementär)}} sind {{c2::ein zugehöriges Gut zu anderen Gütern}}.	
{{c1::Ein Nachfrageanstieg eines verwandten Gutes}} führt zu {{c2::einem Nachfrageanstieg der Komplemente}}.	
{{c1::Ein substitutes Gut (Substitut)}} ist {{c2::ein Ersatzgut zu anderen Gütern}}.	
{{c1::Der Preisanstieg eines verwandten Gutes}} führt zu einem Nachfrageanstieg {{c2::der Substitute}}.	
{{c1::Der Prohibitivpreis}} ist {{c2::der Preis}}, ab dem {{c2::keine Nachfrage}} für {{c2::ein Gut}} mehr vorhanden ist.	
{{c1::Ein Staatsversagen (Politikversagen)}} ist {{c2::ein Marktversagen}} durch {{c2::staatliche Maßnahmen}}, welche {{c3::nicht wirtschaftlich}} sind und/oder zu einem {{c3::suboptimalen Ergebnis}} führen.	
{{c1::Ein Marktversagen}} ist {{c2::ein Versagen der Marktwirtschaft}} durch {{c2::eine fehlende Effizienz}}.	
{{c1::Die Marktnachfrage}} ist {{c2::die Summe aller individuellen Nachfragemengen}}.	
"{{c1::Das Angebot}} ist {{c2::die von potentiellen Verkäufern angebotene Menge eines Gutes}}.<br />
{{c1::{{c2::<img src=""2021-Bild-Sieg-Angebotskurve.png"" alt=""""><br />
Angebotskurve}}}}"	
{{c1::Die Angebotsmenge}} beschreibt {{c2::die Menge von Gütern, welche Verkäufer zu einem bestimmten Preis verkaufen würden}}.	
"{{c1::Die Nachfrage}} ist {{c2::die von potentiellen Käufern angeforderte Menge eines Gutes}}.<br />
{{c1::{{c2::<img src=""2021-Bild-Sieg-Nachfragekurve.png"" alt=""""><br />
Nachfragekurve}}}}"	
{{c1::Die Nachfragemenge}} beschreibt {{c2::die Menge eines Gutes, welche Käufer zu einem bestimmten Preis kaufen würden}}.	
{{c1::Eine Marktwirtschaft (Markt)}} ist {{c2::ein System}} aus {{c2::dezentralisierten Entscheidung}} zur {{c3::Verteilung}} von {{c3::knappen Gütern}} unter {{c4::Unternehmen und Haushalten}}.	
{{c1::Die Philipps-Kurve}} ist {{c2::die grafische Darstellung des Zusammenhangs}} zwischen {{c3::einer Erhöhung der Geldmenge}} und {{c3::steigenden Preisen, steigender Nachfrage, steigender Produktion und sinkender Arbeitslosigkeit}}.	
{{c1::Volkswirtschaftlichen Grundannahmen}} sind {{c2::10 Paradigmen der Volkswirtschaftslehre}}.	
{{c1::Eine Volkswirtschaft}} ist die Gesamtheit von {{c2::Handelsaktivitäten und Produktionsaktivitäten}} {{c3::einer Gesellschaft}}.	
{{c1::Die Makroökonomie}} ist {{c2::die Analyse}} von {{c2::gesamtwirtschaftlichen Phänomenen}} und betrachtet {{c2::gesamtgesellschaftliche und gesamtwirtschaftlichen Faktoren}}.	
{{c1::Die Mikroökonomie}} ist {{c2::die Analyse der Wirkung von Wirtschaftseinheiten}}, spezifisch {{c2::Unternehmen, in der Marktwirtschaft}}.	
{{c1::Die Ökonomie (Haushaltsführung)}} ist {{c2::das Treffen von wirtschaftlichen Entscheidungen}} über {{c2::knappe Güter}}.	
{{c1::Die Volkswirtschaftslehre (VWL)}} ist {{c2::die Wissenschaft der gesamtwirtschaftlichen Aktivitäten einer Gesellschaft und deren Volkswirtschaft}} sowie {{c3::der Bewirtschaftung dieser mit knappen Gütern}}.	
"Frage:<br />
Erläutere in Worten, was ökonomisch unter der Konsumentenrente zu verstehen ist. Mit welcher Maßnahme können Unternehmen versuchen, die Konsumentenrente abzuschöpfen?"	"Konsumentenrente: Umsatz, den der Kaufmann dadurch verschenkt, dass er nicht bei allen Kunden deren individuelle Zahlungsbereitschaft ausnutzt.<br />
Möglichkeiten der Ausnutzung: Zeitliche Preisdifferenzierung."
"{{c1::Die Konsumentenrente (Consumer Surplus)}} ist {{c2::die Differenz zwischen der Zahlungsbereitschaft eines Konsumenten für ein Gut und dem Marktpreis, zu dem ein Gut gekauft wird}}.<br />
{{c1::{{c2::<img src=""2022-Bild-Sieg-Konsumentenrente.png"" alt=""""><br />
Konsumentenrente}}}}"	
"{{c1::\(\text{Konsumentenrente}\)}} \(=\) {{c2::\(\frac{(\text{Vorbehaltspreis} - \text{Gleichgewichtspreis}) \cdot \text{Gleichgewichtsmenge} }{2}\)}}<br />
{{c1::{{c2::<img src=""2022-Bild-Sieg-Konsumentenrente.png"" alt=""""><br />
Konsumentenrente}}}}"	
"{{c1::Die Konsumentenrente}} ist für den Konsumenten {{c2::der subjektive Nutzen und das Ersparnis}}, den {{c2::der Konsument}} erhält.<br />
{{c1::{{c2::<img src=""2022-Bild-Sieg-Konsumentenrente.png"" alt=""""><br />
Konsumentenrente}}}}"	
{{c1::Die Konsumentenrente}} ist {{c2::am größten}}, wenn {{c3::die Bedingungen der vollständigen Konkurrenz auf allen Märkten}} gegeben sind.	
{{c1::Eine Technologie}} ist {{c2::die Wissenschaft der Technik}} und {{c2::die Menge aller Aktivitäten}}, über die {{c2::ein Betrieb oder eine Volkswirtschaft verfügt}}.	
{{c1::Ein Gut}} ist {{c2::eine Ware und Dienstleistung}}, die {{c3::konsumiert}} oder {{c3::bei der Produktion}} in {{c3::andere Güter umgewandelt werden kann}}.	
"wahr oder falsch:<br />
Wenn durch Steuern nur geringe staatliche Einnahmen erzielt werden sollen, liegt keine Steuer vor."	"falsch:<br />
Auch kleine Steuern erzeugen einen Lenkungseffekt."
"wahr oder falsch:<br />
Wenn Landwirte jedes zehnte gemästete Schwein beim Finanzamt abgeben müssen, ist das eine Steuer im Sinne der Abgabenordnung."	"falsch:<br />
Steuern umfassen nur Geldleistungen."
{{c1::Eine Steuer}} ist {{c2::eine Geldleistung, die nicht eine Gegenleistung für eine besondere Leistung darstellen und von einem öffentlich-rechtlichen Gemeinwesen zur Erzielung von Einnahmen auferlegt werden}}.	
{{c1::Die volkswirtschaftliche Gesamtrechnung (gesamtwirtschaftliches Rechnungswesen, volkswirtschaftliches Rechnungswesen, VGR)}} ist {{c2::die quantitative Beschreibung des wirtschaftlichen Geschehens}} in einer Volkswirtschaft für {{c3::einen zurückliegenden und daher abgeschlossenen Zeitraum}}.	
